"項目","単位","1980_55","1981_56","1982_57","1983_58","1984_59","1985_60","1986_61","1987_62","1988_63","1989_1","1990_2","1991_3","1992_4","1993_5","1994_6","1995_7","1996_8","1997_9","1998_10","1999_11","2000_12","2001_13","2002_14","2003_15","2004_16","2005_17","2006_18","有効数字(少数桁)"
"事業所数（総数）","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"事業所数（総数）_和歌山県","事業所","","66872.0","","","","","67152.0","","","","","65168.0","","","…","","63228.0","","","…","","58997.0","","","…","","54768.0",""
"事業所数（総数）_和歌山市","事業所","","23120.0","","","","","23048.0","","","","","21461.0","","","…","","20877.0","","","…","","18818.0","","","…","","16830.0",""
"事業所数（総数）_海南市","事業所","","4512.0","","","","","4226.0","","","","","4276.0","","","…","","4056.0","","","…","","3699.0","","","…","","3371.0",""
"事業所数（総数）_旧海南市","事業所","","3553.0","","","","","3339.0","","","","","3410.0","","","…","","3170.0","","","…","","2834.0","","","…","","2565.0",""
"事業所数（総数）_旧下津町","事業所","","959.0","","","","","887.0","","","","","866.0","","","…","","886.0","","","…","","865.0","","","…","","806.0",""
"事業所数（総数）_橋本市","事業所","","3640.0","","","","","3528.0","","","","","3487.0","","","…","","3289.0","","","…","","3118.0","","","…","","2834.0",""
"事業所数（総数）_旧橋本市","事業所","","2226.0","","","","","2207.0","","","","","2261.0","","","…","","2111.0","","","…","","2073.0","","","…","","1977.0",""
"事業所数（総数）_旧高野口町","事業所","","1414.0","","","","","1321.0","","","","","1226.0","","","…","","1178.0","","","…","","1045.0","","","…","","857.0",""
"事業所数（総数）_有田市","事業所","","2262.0","","","","","2399.0","","","","","2329.0","","","…","","2320.0","","","…","","2213.0","","","…","","2127.0",""
"事業所数（総数）_御坊市","事業所","","2425.0","","","","","2556.0","","","","","2495.0","","","…","","2503.0","","","…","","2438.0","","","…","","2213.0",""
"事業所数（総数）_田辺市","事業所","","6046.0","","","","","6203.0","","","","","6298.0","","","…","","6249.0","","","…","","5975.0","","","…","","5691.0",""
